total, ,3969953,3953679,3961445,3959349,3955693,3960421,3955355, ,3953679,3969953,3959413
conv,0,1704411,1724116,1730894,1729736,1726362,1730073,1726000, ,1704411,1730894,1724513
conv,1,26587,24967,25054,25050,24926,24999,24971, ,24926,26587,25222
conv,2,37622,39077,39134,38983,39033,38980,38974, ,37622,39134,38829
conv,3,125394,124748,124963,125032,124732,124931,124738, ,124732,125394,124934
conv,4,40219,37301,37312,37376,37312,37255,37288, ,37255,40219,37723
conv,5,75448,75365,75481,75520,75374,75507,75404, ,75365,75520,75442
conv,6,207746,206432,206505,206368,206482,206560,206414, ,206368,207746,206643
conv,7,18601,17896,17834,17938,17881,17971,17955, ,17834,18601,18010
conv,8,27194,25367,25329,25360,25335,25319,25366, ,25319,27194,25610
conv,9,111108,109752,109643,109636,109688,109785,109710, ,109636,111108,109903
conv,10,32129,31838,31801,31806,31797,31759,31763, ,31759,32129,31841
conv,11,41683,41482,41451,41540,41455,41541,41561, ,41451,41683,41530
conv,12,211951,211410,211450,211351,211424,211353,211427, ,211351,211951,211480
conv,13,14697,14275,14409,14416,14392,14430,14450, ,14275,14697,14438
conv,14,11790,11459,11498,11491,11478,11495,11484, ,11459,11790,11527
conv,15,71103,70278,70237,70156,70322,70295,70361, ,70156,71103,70393
conv,16,19314,19170,19198,19218,19189,19235,19162, ,19162,19314,19212
conv,17,11826,11593,11481,11486,11472,11460,11462, ,11460,11826,11540
conv,18,71061,70294,70429,70310,70285,70392,70240, ,70240,71061,70430
conv,19,24214,24323,24293,24280,24290,24313,24286, ,24214,24323,24285
conv,20,17096,17016,17014,16960,16959,16969,16946, ,16946,17096,16994
conv,21,91273,91077,91194,91023,91068,91153,91047, ,91023,91273,91119
conv,22,30649,30663,30871,30761,30906,30735,30745, ,30649,30906,30761
conv,23,17034,16923,16932,16924,16925,16915,16911, ,16911,17034,16937
conv,24,91267,91033,91225,90923,91100,91099,91126, ,90923,91267,91110
conv,25,438056,416397,416302,416373,416389,416392,416357, ,416302,438056,419466
