total, ,13146858,12293836,12264141,12259198,12259032,12265346,12307043, ,12259032,13146858,12399350
conv,0,4065446,3915332,3894753,3901628,3894619,3907558,3900830, ,3894619,4065446,3925738
conv,1,835194,859854,831233,831188,830734,831016,861656, ,830734,861656,840125
conv,2,480630,471930,470685,495502,470359,470609,471385, ,470359,495502,475871
conv,3,615370,613212,613051,614518,613042,631741,613309, ,613042,631741,616320
conv,4,411697,409537,409430,409554,409466,410556,409569, ,409430,411697,409972
matmul,0,4371531,3699261,3674968,3682916,3690345,3687302,3683582, ,3674968,4371531,3784272
matmul,1,1616752,1595554,1639440,1594971,1619389,1596213,1596365, ,1594971,1639440,1608383
matmul,2,389794,387266,387202,387146,388480,387244,426994, ,387146,426994,393446
