conv number,total A load,total B load,total D load,D from dram, ,A size (MB),B size (MB), ,reuse A,reuse B, ,inner tile A size,inner tile B size,tile A outer loop factor,tile B outer loop factor, ,number of tiles,load per tile,ideal runtime,ideal L2 BW usage,ideal DRAM BW usage,total memory transaction,from dram, ,1 core compute,1 core memory,1 core prediction, ,2 core compute,2 core memory,2 core prediction, ,4 core compute,4 core memory,4 core prediction, ,8 core compute,8 core memory,8 core prediction, , ,1 core mem/compute,2 core mem/compute,4 core mem/compute,8 core mem/compute, ,1 core dram bw predict,2 core dram bw predict,4 core dram bw predict,8 core dram bw predict, ,1 core runtime, ,dram bw usage, ,accuracy
11,5928,24300,1728,240, ,0.110592,0.01944, ,0.8576388888888888,20.0, ,6912,1215,1,1, ,20,1597,164025,0.23686633135192806,0.05101051668952904,38852,8367, ,164025.0,38852.0,175680.6, ,82012.5,19426.0,87840.3, ,41006.25,9713.0,43920.15, ,20503.125,8367.0,23013.225, , ,0.23686633135192806,0.23686633135192806,0.23686633135192806,0.4080841335162323, ,0.047626203462419865,0.09525240692483973,0.19050481384967946,0.36357355390215845, ,195881, ,0.042714709440936076, ,0.8968741225539997
12,5928,24300,1728,240, ,0.110592,0.01944, ,0.8576388888888888,20.0, ,6912,1215,1,1, ,20,1597,164025,0.23686633135192806,0.05101051668952904,38852,8367, ,164025.0,38852.0,175680.6, ,82012.5,19426.0,87840.3, ,41006.25,9713.0,43920.15, ,20503.125,8367.0,23013.225, , ,0.23686633135192806,0.23686633135192806,0.23686633135192806,0.4080841335162323, ,0.047626203462419865,0.09525240692483973,0.19050481384967946,0.36357355390215845, ,192680, ,0.04342433049615944, ,0.9117739256798838
13,5928,24300,1728,240, ,0.110592,0.01944, ,0.8576388888888888,20.0, ,6912,1215,1,1, ,20,1597,164025,0.23686633135192806,0.05101051668952904,38852,8367, ,164025.0,38852.0,175680.6, ,82012.5,19426.0,87840.3, ,41006.25,9713.0,43920.15, ,20503.125,8367.0,23013.225, , ,0.23686633135192806,0.23686633135192806,0.23686633135192806,0.4080841335162323, ,0.047626203462419865,0.09525240692483973,0.19050481384967946,0.36357355390215845, ,197225, ,0.04242362783622766, ,0.8907623272911649
14,5928,24300,1728,240, ,0.110592,0.01944, ,0.8576388888888888,20.0, ,6912,1215,1,1, ,20,1597,164025,0.23686633135192806,0.05101051668952904,38852,8367, ,164025.0,38852.0,175680.6, ,82012.5,19426.0,87840.3, ,41006.25,9713.0,43920.15, ,20503.125,8367.0,23013.225, , ,0.23686633135192806,0.23686633135192806,0.23686633135192806,0.4080841335162323, ,0.047626203462419865,0.09525240692483973,0.19050481384967946,0.36357355390215845, ,192813, ,0.04339437693516516, ,0.9111449954100606
15,5928,24300,1728,240, ,0.110592,0.01944, ,0.8576388888888888,20.0, ,6912,1215,1,1, ,20,1597,164025,0.23686633135192806,0.05101051668952904,38852,8367, ,164025.0,38852.0,175680.6, ,82012.5,19426.0,87840.3, ,41006.25,9713.0,43920.15, ,20503.125,8367.0,23013.225, , ,0.23686633135192806,0.23686633135192806,0.23686633135192806,0.4080841335162323, ,0.047626203462419865,0.09525240692483973,0.19050481384967946,0.36357355390215845, ,194310, ,0.043060058669136946, ,0.904125366682106
16,5928,24300,1728,240, ,0.110592,0.01944, ,0.8576388888888888,20.0, ,6912,1215,1,1, ,20,1597,164025,0.23686633135192806,0.05101051668952904,38852,8367, ,164025.0,38852.0,175680.6, ,82012.5,19426.0,87840.3, ,41006.25,9713.0,43920.15, ,20503.125,8367.0,23013.225, , ,0.23686633135192806,0.23686633135192806,0.23686633135192806,0.4080841335162323, ,0.047626203462419865,0.09525240692483973,0.19050481384967946,0.36357355390215845, ,192827, ,0.04339122633241196, ,0.9110788426931913
17,5928,24300,1728,240, ,0.110592,0.01944, ,0.8576388888888888,20.0, ,6912,1215,1,1, ,20,1597,164025,0.23686633135192806,0.05101051668952904,38852,8367, ,164025.0,38852.0,175680.6, ,82012.5,19426.0,87840.3, ,41006.25,9713.0,43920.15, ,20503.125,8367.0,23013.225, , ,0.23686633135192806,0.23686633135192806,0.23686633135192806,0.4080841335162323, ,0.047626203462419865,0.09525240692483973,0.19050481384967946,0.36357355390215845, ,193107, ,0.04332831021143718, ,0.9097578026689866
18,5928,24300,1728,240, ,0.110592,0.01944, ,0.8576388888888888,20.0, ,6912,1215,1,1, ,20,1597,164025,0.23686633135192806,0.05101051668952904,38852,8367, ,164025.0,38852.0,175680.6, ,82012.5,19426.0,87840.3, ,41006.25,9713.0,43920.15, ,20503.125,8367.0,23013.225, , ,0.23686633135192806,0.23686633135192806,0.23686633135192806,0.4080841335162323, ,0.047626203462419865,0.09525240692483973,0.19050481384967946,0.36357355390215845, ,196863, ,0.04250163819508999, ,0.8924002986848723
19,5928,24300,1728,240, ,0.110592,0.01944, ,0.8576388888888888,20.0, ,6912,1215,1,1, ,20,1597,164025,0.23686633135192806,0.05101051668952904,38852,8367, ,164025.0,38852.0,175680.6, ,82012.5,19426.0,87840.3, ,41006.25,9713.0,43920.15, ,20503.125,8367.0,23013.225, , ,0.23686633135192806,0.23686633135192806,0.23686633135192806,0.4080841335162323, ,0.047626203462419865,0.09525240692483973,0.19050481384967946,0.36357355390215845, ,193473, ,0.04324634445116373, ,0.9080367803259369
20,5928,24300,1728,240, ,0.110592,0.01944, ,0.8576388888888888,20.0, ,6912,1215,1,1, ,20,1597,164025,0.23686633135192806,0.05101051668952904,38852,8367, ,164025.0,38852.0,175680.6, ,82012.5,19426.0,87840.3, ,41006.25,9713.0,43920.15, ,20503.125,8367.0,23013.225, , ,0.23686633135192806,0.23686633135192806,0.23686633135192806,0.4080841335162323, ,0.047626203462419865,0.09525240692483973,0.19050481384967946,0.36357355390215845, ,195699, ,0.04275443410543743, ,0.89770821516717
21,5928,24300,1728,240, ,0.110592,0.01944, ,0.8576388888888888,20.0, ,6912,1215,1,1, ,20,1597,164025,0.23686633135192806,0.05101051668952904,38852,8367, ,164025.0,38852.0,175680.6, ,82012.5,19426.0,87840.3, ,41006.25,9713.0,43920.15, ,20503.125,8367.0,23013.225, , ,0.23686633135192806,0.23686633135192806,0.23686633135192806,0.4080841335162323, ,0.047626203462419865,0.09525240692483973,0.19050481384967946,0.36357355390215845, ,193158, ,0.04331687012704625, ,0.9095175969931352
22,5928,24300,1728,240, ,0.110592,0.01944, ,0.8576388888888888,20.0, ,6912,1215,1,1, ,20,1597,164025,0.23686633135192806,0.05101051668952904,38852,8367, ,164025.0,38852.0,175680.6, ,82012.5,19426.0,87840.3, ,41006.25,9713.0,43920.15, ,20503.125,8367.0,23013.225, , ,0.23686633135192806,0.23686633135192806,0.23686633135192806,0.4080841335162323, ,0.047626203462419865,0.09525240692483973,0.19050481384967946,0.36357355390215845, ,192613, ,0.04343943555211746, ,0.9120910841947325
23,5928,24300,1728,240, ,0.110592,0.01944, ,0.8576388888888888,20.0, ,6912,1215,1,1, ,20,1597,164025,0.23686633135192806,0.05101051668952904,38852,8367, ,164025.0,38852.0,175680.6, ,82012.5,19426.0,87840.3, ,41006.25,9713.0,43920.15, ,20503.125,8367.0,23013.225, , ,0.23686633135192806,0.23686633135192806,0.23686633135192806,0.4080841335162323, ,0.047626203462419865,0.09525240692483973,0.19050481384967946,0.36357355390215845, ,195552, ,0.042786573392243496, ,0.8983830387825233
24,5928,24300,1728,240, ,0.110592,0.01944, ,0.8576388888888888,20.0, ,6912,1215,1,1, ,20,1597,164025,0.23686633135192806,0.05101051668952904,38852,8367, ,164025.0,38852.0,175680.6, ,82012.5,19426.0,87840.3, ,41006.25,9713.0,43920.15, ,20503.125,8367.0,23013.225, , ,0.23686633135192806,0.23686633135192806,0.23686633135192806,0.4080841335162323, ,0.047626203462419865,0.09525240692483973,0.19050481384967946,0.36357355390215845, ,195516, ,0.042794451604983734, ,0.8985484563923157
25,5928,24300,1728,240, ,0.110592,0.01944, ,0.8576388888888888,20.0, ,6912,1215,1,1, ,20,1597,164025,0.23686633135192806,0.05101051668952904,38852,8367, ,164025.0,38852.0,175680.6, ,82012.5,19426.0,87840.3, ,41006.25,9713.0,43920.15, ,20503.125,8367.0,23013.225, , ,0.23686633135192806,0.23686633135192806,0.23686633135192806,0.4080841335162323, ,0.047626203462419865,0.09525240692483973,0.19050481384967946,0.36357355390215845, ,193338, ,0.04327654160071998, ,0.9086708251869783
 
resadd number,stream (total) A load,stream (total) B load,stream (total) C store, ,1 core prediction,2 core prediction,4 core prediction,8 core prediction,from dram, ,1 core dram bw predict,2 core dram bw predict,4 core dram bw predict,8 core dram bw predict, ,1 core runtime, ,dram bw usage, ,accuracy
1,27648,27648,27648, ,165888.0,124416.0,103680.0,93312.0,82944, ,0.5,0.6666666666666666,0.8,0.8888888888888888, ,273740, ,0.30300284941915684, ,0.6060056988383137
2,27648,27648,27648, ,165888.0,124416.0,103680.0,93312.0,82944, ,0.5,0.6666666666666666,0.8,0.8888888888888888, ,274380, ,0.30229608572053357, ,0.6045921714410671
3,27648,27648,27648, ,165888.0,124416.0,103680.0,93312.0,82944, ,0.5,0.6666666666666666,0.8,0.8888888888888888, ,270321, ,0.30683520703164013, ,0.6136704140632803
4,27648,27648,27648, ,165888.0,124416.0,103680.0,93312.0,82944, ,0.5,0.6666666666666666,0.8,0.8888888888888888, ,270322, ,0.3068340719586271, ,0.6136681439172542
5,27648,27648,27648, ,165888.0,124416.0,103680.0,93312.0,82944, ,0.5,0.6666666666666666,0.8,0.8888888888888888, ,270315, ,0.3068420176460796, ,0.6136840352921592
6,27648,27648,27648, ,165888.0,124416.0,103680.0,93312.0,82944, ,0.5,0.6666666666666666,0.8,0.8888888888888888, ,272694, ,0.3041651081431935, ,0.608330216286387
7,27648,27648,27648, ,165888.0,124416.0,103680.0,93312.0,82944, ,0.5,0.6666666666666666,0.8,0.8888888888888888, ,272713, ,0.3041439168649826, ,0.6082878337299652
8,27648,27648,27648, ,165888.0,124416.0,103680.0,93312.0,82944, ,0.5,0.6666666666666666,0.8,0.8888888888888888, ,272470, ,0.30441516497229054, ,0.6088303299445811
9,27648,27648,27648, ,165888.0,124416.0,103680.0,93312.0,82944, ,0.5,0.6666666666666666,0.8,0.8888888888888888, ,270321, ,0.30683520703164013, ,0.6136704140632803
10,27648,27648,27648, ,165888.0,124416.0,103680.0,93312.0,82944, ,0.5,0.6666666666666666,0.8,0.8888888888888888, ,270314, ,0.30684315277788055, ,0.6136863055557611
11,27648,27648,27648, ,165888.0,124416.0,103680.0,93312.0,82944, ,0.5,0.6666666666666666,0.8,0.8888888888888888, ,270358, ,0.30679321492243616, ,0.6135864298448723
 
total cycle prediction,6303369.599999998,3615590.6999999983,2287754.399999999,1663596.0000000007
real thread cycle
real total cycle,8450305
