conv number,total A load,total B load,total D load,D from dram, ,A size (MB),B size (MB), ,reuse A,reuse B, ,inner tile A size,inner tile B size,tile A outer loop factor,tile B outer loop factor, ,number of tiles,load per tile,ideal runtime,ideal L2 BW usage,ideal DRAM BW usage,total memory transaction,from dram, ,1 core compute,1 core memory,1 core prediction, ,2 core compute,2 core memory,2 core prediction, ,4 core compute,4 core memory,4 core prediction, ,8 core compute,8 core memory,8 core prediction, , ,1 core mem/compute,2 core mem/compute,4 core mem/compute,8 core mem/compute, ,1 core dram bw predict,2 core dram bw predict,4 core dram bw predict,8 core dram bw predict, ,1 core runtime, ,dram bw usage, ,accuracy
1,109368,28224,25088,784, ,0.802816,0.000864, ,2.1796875,522.6666666666666, ,50176,27,2,1, ,196,830,903168,0.2912326388888889,0.2231500673185941,263032,201542, ,903168.0,263032.0,1166200.0, ,451584.0,201542.0,653126.0, ,225792.0,201542.0,427334.0, ,112896.0,201542.0,314438.0, , ,0.2912326388888889,0.4463001346371882,0.8926002692743764,1.7852005385487528, ,0.17281941347967758,0.308580580163705,0.4716264093191742,0.6409594260235723, ,1066635, ,0.1889512344897739, ,1.0933449586784607
2,20160,129024,12544,1792, ,0.401408,0.018432, ,0.8035714285714286,112.0, ,25088,1152,1,1, ,112,1444,903168,0.23462301587301587,0.08659297052154195,211904,78208, ,903168.0,211904.0,1115072.0, ,451584.0,105952.0,557536.0, ,225792.0,78208.0,304000.0, ,112896.0,78208.0,191104.0, , ,0.23462301587301587,0.23462301587301587,0.3463718820861678,0.6927437641723356, ,0.07013717499856512,0.14027434999713023,0.25726315789473686,0.4092431346282652, ,957567, ,0.08167365834453359, ,1.1644845739253755
3,25088,129024,7168,896, ,0.200704,0.073728, ,2.0,28.0, ,12544,2304,2,1, ,56,2880,903168,0.20634920634920634,0.04776077097505669,186368,43136, ,903168.0,186368.0,959078.4, ,451584.0,93184.0,479539.2, ,225792.0,46592.0,239769.6, ,112896.0,43136.0,125836.8, , ,0.20634920634920634,0.20634920634920634,0.20634920634920634,0.3820861678004535, ,0.04497651078368567,0.08995302156737134,0.17990604313474268,0.3427932051673278, ,952133, ,0.04530459505132161, ,1.007294569141076
4,25088,12800,3136,640, ,0.401408,0.008192, ,1.0,25.0, ,640,512,1,40, ,25,1640,100352,0.533561862244898,0.1364795918367347,53544,13696, ,100352.0,53544.0,116415.2, ,50176.0,26772.0,58207.6, ,25088.0,13696.0,29196.8, ,12544.0,13696.0,17459.2, , ,0.533561862244898,0.533561862244898,0.5459183673469388,1.0918367346938775, ,0.11764786728880765,0.2352957345776153,0.4690925032880316,0.7844574780058651, ,108968, ,0.12568827545701491, ,1.0683429997797518
5,25088,129024,7168,896, ,0.200704,0.073728, ,2.0,28.0, ,12544,2304,2,1, ,56,2880,903168,0.20634920634920634,0.0338718820861678,186368,30592, ,903168.0,186368.0,959078.4, ,451584.0,93184.0,479539.2, ,225792.0,46592.0,239769.6, ,112896.0,30592.0,122073.6, , ,0.20634920634920634,0.20634920634920634,0.20634920634920634,0.2709750566893424, ,0.031897288063207345,0.06379457612641469,0.12758915225282938,0.25060291496277654, ,953894, ,0.03207064935936278, ,1.0054349854386337
6,86016,147456,3584,512, ,0.100352,0.294912, ,13.714285714285714,8.0, ,6272,4608,4,1, ,96,2469,903168,0.2763251133786848,0.04180839002267574,249568,37760, ,903168.0,249568.0,978038.4, ,451584.0,124784.0,489019.2, ,225792.0,62392.0,244509.6, ,112896.0,37760.0,124224.0, , ,0.2763251133786848,0.2763251133786848,0.2763251133786848,0.3344671201814059, ,0.0386078910603101,0.0772157821206202,0.1544315642412404,0.3039670273055126, ,949894, ,0.03975180388548617, ,1.0296289901820626
7,25088,20480,1568,320, ,0.200704,0.032768, ,2.0,10.0, ,1280,2048,1,10, ,20,2356,100352,0.5320471938775511,0.08609693877551021,53392,8640, ,100352.0,53392.0,116369.6, ,50176.0,26696.0,58184.8, ,25088.0,13348.0,29092.4, ,12544.0,8640.0,15136.0, , ,0.5320471938775511,0.5320471938775511,0.5320471938775511,0.6887755102040817, ,0.07424619488251227,0.14849238976502455,0.2969847795300491,0.5708245243128964, ,113162, ,0.07635071843905197, ,1.0283452042204981
8,86016,147456,3584,512, ,0.100352,0.294912, ,13.714285714285714,8.0, ,6272,4608,4,1, ,96,2469,903168,0.2763251133786848,0.03486394557823129,249568,31488, ,903168.0,249568.0,978038.4, ,451584.0,124784.0,489019.2, ,225792.0,62392.0,244509.6, ,112896.0,31488.0,122342.4, , ,0.2763251133786848,0.2763251133786848,0.2763251133786848,0.2789115646258503, ,0.032195054918089105,0.06439010983617821,0.12878021967235642,0.2573760200878845, ,949334, ,0.03316851603334548, ,1.030236355171099
9,86016,147456,1792,256, ,0.050176,1.179648, ,27.428571428571427,2.0, ,3136,9216,8,1, ,96,2450,903168,0.2673611111111111,0.0923327664399093,241472,83392, ,903168.0,241472.0,975609.6, ,451584.0,120736.0,487804.8, ,225792.0,83392.0,250809.6, ,112896.0,83392.0,137913.6, , ,0.2673611111111111,0.2673611111111111,0.3693310657596372,0.7386621315192744, ,0.08547681367629019,0.17095362735258038,0.3324912603026359,0.6046684300895633, ,938884, ,0.08882034415327134, ,1.0391162273507697
10,25088,24576,832,192, ,0.100352,0.131072, ,4.0,3.0, ,2560,8192,1,3, ,24,2104,100352,0.5344387755102041,0.11479591836734694,53632,11520, ,100352.0,53632.0,116441.6, ,50176.0,26816.0,58220.8, ,25088.0,13408.0,29110.4, ,12544.0,11520.0,16000.0, , ,0.5344387755102041,0.5344387755102041,0.5344387755102041,0.9183673469387755, ,0.0989337144113444,0.1978674288226888,0.3957348576453776,0.72, ,125603, ,0.09171755451700994, ,0.927060659379155
