total, ,2496140,2271939,2265812,2265224,2264961,2297680,2288896, ,2264961,2496140,2307236
conv,0,720621,542299,540460,539574,539751,571418,561569, ,539574,720621,573670
conv,1,271266,265591,265275,265357,265326,265689,265899, ,265275,271266,266343
conv,2,238061,233812,233779,233750,233667,233682,233892, ,233667,238061,234377
conv,3,245139,237707,237454,237516,237569,237476,237618, ,237454,245139,238639
conv,4,121311,116481,115639,115531,115683,115657,115554, ,115531,121311,116550
conv,5,72025,65773,65691,65420,65531,65383,65341, ,65341,72025,66452
conv,6,16690,15088,14708,14579,14453,14422,14567, ,14422,16690,14929
