conv number,total A load,total B load,total D load,D from dram, ,A size (MB),B size (MB), ,reuse A,reuse B, ,inner tile A size,inner tile B size,tile A outer loop factor,tile B outer loop factor, ,number of tiles,load per tile,ideal runtime,ideal L2 BW usage,ideal DRAM BW usage,total memory transaction,from dram, ,1 core compute,1 core memory,1 core prediction, ,2 core compute,2 core memory,2 core prediction, ,4 core compute,4 core memory,4 core prediction, ,8 core compute,8 core memory,8 core prediction, , ,1 core mem/compute,2 core mem/compute,4 core mem/compute,8 core mem/compute, ,1 core dram bw predict,2 core dram bw predict,4 core dram bw predict,8 core dram bw predict
13,107520,73728,1792,256, ,0.401408,0.147456, ,4.285714285714286,8.0, ,25088,4608,2,1, ,64,2860,451584,0.4192176870748299,0.03486394557823129,189312,15744, ,451584.0,189312.0,508377.6, ,225792.0,94656.0,254188.8, ,112896.0,47328.0,127094.4, ,56448.0,23664.0,63547.2, , ,0.4192176870748299,0.4192176870748299,0.4192176870748299,0.4192176870748299, ,0.030969106427977944,0.06193821285595589,0.12387642571191178,0.24775285142382356
14,37632,40960,6272,1280, ,0.100352,0.065536, ,6.0,10.0, ,640,4096,1,10, ,60,1414,200704,0.5477120535714286,0.15178571428571427,109928,30464, ,200704.0,109928.0,233682.4, ,100352.0,54964.0,116841.2, ,50176.0,30464.0,59315.2, ,25088.0,30464.0,37990.4, , ,0.5477120535714286,0.5477120535714286,0.6071428571428571,1.2142857142857142, ,0.13036497399889765,0.2607299479977953,0.513595166163142,0.8018867924528301
15,401408,65536,7168,1024, ,0.802816,0.131072, ,8.0,8.0, ,50176,1024,8,1, ,256,1852,401408,1.2436224489795917,0.21045918367346939,499200,84480, ,401408.0,499200.0,619622.4, ,200704.0,249600.0,309811.2, ,100352.0,124800.0,154905.6, ,50176.0,84480.0,99532.8, , ,1.2436224489795917,1.2436224489795917,1.2436224489795917,1.683673469387755, ,0.13634110064452157,0.27268220128904314,0.5453644025780863,0.8487654320987654
16,50176,40960,1568,320, ,0.401408,0.065536, ,2.0,10.0, ,2560,4096,1,10, ,40,2317,200704,0.49302455357142855,0.05325255102040816,98952,10688, ,200704.0,98952.0,230389.6, ,100352.0,49476.0,115194.8, ,50176.0,24738.0,57597.4, ,25088.0,12369.0,28798.7, , ,0.49302455357142855,0.49302455357142855,0.49302455357142855,0.49302455357142855, ,0.04639098292631264,0.09278196585262528,0.18556393170525057,0.37112786341050114
17,43008,73728,1792,256, ,0.100352,0.147456, ,6.857142857142857,8.0, ,6272,4608,2,1, ,48,2469,451584,0.2763251133786848,0.03486394557823129,124784,15744, ,451584.0,124784.0,489019.2, ,225792.0,62392.0,244509.6, ,112896.0,31196.0,122254.8, ,56448.0,15744.0,61171.2, , ,0.2763251133786848,0.2763251133786848,0.2763251133786848,0.2789115646258503, ,0.032195054918089105,0.06439010983617821,0.12878021967235642,0.2573760200878845
18,37632,40960,6272,1280, ,0.100352,0.065536, ,6.0,10.0, ,640,4096,1,10, ,60,1414,200704,0.5477120535714286,0.15178571428571427,109928,30464, ,200704.0,109928.0,233682.4, ,100352.0,54964.0,116841.2, ,50176.0,30464.0,59315.2, ,25088.0,30464.0,37990.4, , ,0.5477120535714286,0.5477120535714286,0.6071428571428571,1.2142857142857142, ,0.13036497399889765,0.2607299479977953,0.513595166163142,0.8018867924528301
19,50176,40960,1568,320, ,0.401408,0.065536, ,2.0,10.0, ,2560,4096,1,10, ,40,2317,200704,0.49302455357142855,0.05325255102040816,98952,10688, ,200704.0,98952.0,230389.6, ,100352.0,49476.0,115194.8, ,50176.0,24738.0,57597.4, ,25088.0,12369.0,28798.7, , ,0.49302455357142855,0.49302455357142855,0.49302455357142855,0.49302455357142855, ,0.04639098292631264,0.09278196585262528,0.18556393170525057,0.37112786341050114
20,43008,73728,1792,256, ,0.100352,0.147456, ,6.857142857142857,8.0, ,6272,4608,2,1, ,48,2469,451584,0.2763251133786848,0.03486394557823129,124784,15744, ,451584.0,124784.0,489019.2, ,225792.0,62392.0,244509.6, ,112896.0,31196.0,122254.8, ,56448.0,15744.0,61171.2, , ,0.2763251133786848,0.2763251133786848,0.2763251133786848,0.2789115646258503, ,0.032195054918089105,0.06439010983617821,0.12878021967235642,0.2573760200878845
21,37632,40960,6272,1280, ,0.100352,0.065536, ,6.0,10.0, ,640,4096,1,10, ,60,1414,200704,0.5477120535714286,0.15178571428571427,109928,30464, ,200704.0,109928.0,233682.4, ,100352.0,54964.0,116841.2, ,50176.0,30464.0,59315.2, ,25088.0,30464.0,37990.4, , ,0.5477120535714286,0.5477120535714286,0.6071428571428571,1.2142857142857142, ,0.13036497399889765,0.2607299479977953,0.513595166163142,0.8018867924528301
22,50176,40960,1568,320, ,0.401408,0.065536, ,2.0,10.0, ,2560,4096,1,10, ,40,2317,200704,0.49302455357142855,0.05325255102040816,98952,10688, ,200704.0,98952.0,230389.6, ,100352.0,49476.0,115194.8, ,50176.0,24738.0,57597.4, ,25088.0,12369.0,28798.7, , ,0.49302455357142855,0.49302455357142855,0.49302455357142855,0.49302455357142855, ,0.04639098292631264,0.09278196585262528,0.18556393170525057,0.37112786341050114
