conv number,total A load,total B load,total D load,D from dram, ,A size (MB),B size (MB), ,reuse A,reuse B, ,inner tile A size,inner tile B size,tile A outer loop factor,tile B outer loop factor, ,number of tiles,load per tile,ideal runtime,ideal L2 BW usage,ideal DRAM BW usage,total memory transaction,from dram, ,1 core compute,1 core memory,1 core prediction, ,2 core compute,2 core memory,2 core prediction, ,4 core compute,4 core memory,4 core prediction, ,8 core compute,8 core memory,8 core prediction, , ,1 core mem/compute,2 core mem/compute,4 core mem/compute,8 core mem/compute, ,1 core dram bw predict,2 core dram bw predict,4 core dram bw predict,8 core dram bw predict
1,243360,125440,23232,640, ,0.802816,0.009408, ,4.8501275510204085,213.33333333333334, ,50176,147,4,1, ,144,2722,2458624,0.16452780091628488,0.08723416024573094,404512,214476, ,2458624.0,618988.0,2768118.0, ,1229312.0,416732.0,1437678.0, ,614656.0,315604.0,772458.0, ,307328.0,265040.0,439848.0, , ,0.2517619611620158,0.33899612140774676,0.5134644418992087,0.8624010828821325, ,0.07748080103521598,0.1491822230012562,0.2776539306991448,0.48761390298466745
2,12544,6400,3136,640, ,0.200704,0.004096, ,1.0,25.0, ,320,256,1,40, ,25,883,50176,0.6899513711734694,0.26785714285714285,34619,13440, ,50176.0,48059.0,74205.5, ,25088.0,30749.5,43293.5, ,12544.0,22094.75,28366.75, ,6272.0,17767.375,20903.375, , ,0.9578085140306123,1.225665656887755,1.761379942602041,2.8328085140306123, ,0.18111865023482088,0.3104392114289674,0.4737941427904148,0.6429583739467909
3,12544,64512,3584,448, ,0.200704,0.036864, ,1.0,28.0, ,12544,2304,1,1, ,28,2880,451584,0.20634920634920634,0.0338718820861678,93184,15296, ,451584.0,108480.0,505824.0, ,225792.0,61888.0,256736.0, ,112896.0,38592.0,132192.0, ,56448.0,26944.0,69920.0, , ,0.24022108843537415,0.27409297052154197,0.34183673469387754,0.47732426303854875, ,0.03023976719175049,0.05957871120528481,0.11571048172355362,0.21876430205949657
4,37632,40960,12544,2560, ,0.200704,0.016384, ,3.0,40.0, ,320,1024,1,40, ,120,759,200704,0.7038026147959183,0.26785714285714285,141256,53760, ,200704.0,195016.0,298212.0, ,100352.0,124388.0,174564.0, ,50176.0,89074.0,114162.0, ,25088.0,71417.0,83961.0, , ,0.9716597576530612,1.239516900510204,1.7752311862244898,2.846659757653061, ,0.1802744356363929,0.30796727847666183,0.4709097598149997,0.6402972808804087
5,37632,40960,12544,2560, ,0.200704,0.016384, ,3.0,40.0, ,320,1024,1,40, ,120,759,200704,0.7038026147959183,0.33035714285714285,141256,66304, ,200704.0,207560.0,307912.0, ,100352.0,136932.0,187108.0, ,50176.0,101618.0,126706.0, ,25088.0,83961.0,96505.0, , ,1.0341597576530612,1.364516900510204,2.02523118622449,3.346659757653061, ,0.21533425134454,0.3543621865446694,0.5232901362208577,0.687052484327237
6,50176,25600,3136,640, ,0.802816,0.016384, ,1.0,25.0, ,1280,1024,1,40, ,25,3156,200704,0.4556162308673469,0.07079081632653061,91444,14208, ,200704.0,105652.0,253530.0, ,100352.0,59930.0,130317.0, ,50176.0,37069.0,68710.5, ,25088.0,25638.5,38182.5, , ,0.5264070471938775,0.5971978635204082,0.7387794961734694,1.0219427614795917, ,0.0560407052419832,0.10902645088514928,0.20678062304887898,0.37210764093498333
7,12544,64512,3584,448, ,0.200704,0.036864, ,1.0,28.0, ,12544,2304,1,1, ,28,2880,451584,0.20634920634920634,0.0338718820861678,93184,15296, ,451584.0,108480.0,505824.0, ,225792.0,61888.0,256736.0, ,112896.0,38592.0,132192.0, ,56448.0,26944.0,69920.0, , ,0.24022108843537415,0.27409297052154197,0.34183673469387754,0.47732426303854875, ,0.03023976719175049,0.05957871120528481,0.11571048172355362,0.21876430205949657
8,37632,40960,12544,2560, ,0.200704,0.016384, ,3.0,40.0, ,320,1024,1,40, ,120,759,200704,0.7038026147959183,0.26785714285714285,141256,53760, ,200704.0,195016.0,298212.0, ,100352.0,124388.0,174564.0, ,50176.0,89074.0,114162.0, ,25088.0,71417.0,83961.0, , ,0.9716597576530612,1.239516900510204,1.7752311862244898,2.846659757653061, ,0.1802744356363929,0.30796727847666183,0.4709097598149997,0.6402972808804087
9,50176,25600,3136,640, ,0.802816,0.016384, ,1.0,25.0, ,1280,1024,1,40, ,25,3156,200704,0.4556162308673469,0.07079081632653061,91444,14208, ,200704.0,105652.0,253530.0, ,100352.0,59930.0,130317.0, ,50176.0,37069.0,68710.5, ,25088.0,25638.5,38182.5, , ,0.5264070471938775,0.5971978635204082,0.7387794961734694,1.0219427614795917, ,0.0560407052419832,0.10902645088514928,0.20678062304887898,0.37210764093498333
10,12544,64512,3584,448, ,0.200704,0.036864, ,1.0,28.0, ,12544,2304,1,1, ,28,2880,451584,0.20634920634920634,0.0338718820861678,93184,15296, ,451584.0,108480.0,505824.0, ,225792.0,61888.0,256736.0, ,112896.0,38592.0,132192.0, ,56448.0,26944.0,69920.0, , ,0.24022108843537415,0.27409297052154197,0.34183673469387754,0.47732426303854875, ,0.03023976719175049,0.05957871120528481,0.11571048172355362,0.21876430205949657
11,37632,40960,12544,2560, ,0.200704,0.016384, ,3.0,40.0, ,320,1024,1,40, ,120,759,200704,0.7038026147959183,0.26785714285714285,141256,53760, ,200704.0,195016.0,298212.0, ,100352.0,124388.0,174564.0, ,50176.0,89074.0,114162.0, ,25088.0,71417.0,83961.0, , ,0.9716597576530612,1.239516900510204,1.7752311862244898,2.846659757653061, ,0.1802744356363929,0.30796727847666183,0.4709097598149997,0.6402972808804087
12,100352,81920,6272,1280, ,0.802816,0.032768, ,2.0,40.0, ,1280,2048,1,40, ,80,2356,401408,0.5320471938775511,0.07079081632653061,213568,28416, ,401408.0,241984.0,522400.0, ,200704.0,135200.0,268304.0, ,100352.0,81808.0,141256.0, ,50176.0,55112.0,80200.0, , ,0.6028380102040817,0.6736288265306123,0.8152104591836735,1.098373724489796, ,0.05439509954058193,0.10590971435386726,0.20116667610579372,0.3543142144638404
13,107520,73728,1792,256, ,0.401408,0.147456, ,4.285714285714286,8.0, ,25088,4608,2,1, ,64,2860,451584,0.4192176870748299,0.03486394557823129,189312,15744, ,451584.0,205056.0,554112.0, ,225792.0,110400.0,280992.0, ,112896.0,63072.0,144432.0, ,56448.0,39408.0,76152.0, , ,0.45408163265306123,0.48894557823129253,0.5586734693877551,0.6981292517006803, ,0.028413028413028413,0.05603006491288008,0.10900631439016284,0.20674440592499213
14,37632,40960,6272,1280, ,0.100352,0.065536, ,6.0,10.0, ,640,4096,1,10, ,60,1414,200704,0.5477120535714286,0.15178571428571427,109928,30464, ,200704.0,140392.0,270900.0, ,100352.0,85428.0,143066.0, ,50176.0,57946.0,83034.0, ,25088.0,44205.0,56749.0, , ,0.6994977678571429,0.8512834821428571,1.1548549107142858,1.7619977678571428, ,0.1124547803617571,0.21293668656424308,0.36688585398752316,0.5368200320710497
15,401408,65536,7168,1024, ,0.802816,0.131072, ,8.0,8.0, ,50176,1024,8,1, ,256,1852,401408,1.2436224489795917,0.21045918367346939,499200,84480, ,401408.0,583680.0,784384.0, ,200704.0,334080.0,434432.0, ,100352.0,209280.0,259456.0, ,50176.0,146880.0,171968.0, , ,1.4540816326530612,1.6645408163265305,2.0854591836734695,2.927295918367347, ,0.1077023498694517,0.1944608131997643,0.3256043413912186,0.4912541868254559
16,50176,40960,1568,320, ,0.401408,0.065536, ,2.0,10.0, ,2560,4096,1,10, ,40,2317,200704,0.49302455357142855,0.05325255102040816,98952,10688, ,200704.0,109640.0,255524.0, ,100352.0,60164.0,130434.0, ,50176.0,35426.0,67889.0, ,25088.0,23057.0,36616.5, , ,0.5462771045918368,0.5995296556122449,0.7060347576530612,0.9190449617346939, ,0.041827773516382026,0.08194182498428323,0.15743345755571594,0.29189026804855733
17,43008,73728,1792,256, ,0.100352,0.147456, ,6.857142857142857,8.0, ,6272,4608,2,1, ,48,2469,451584,0.2763251133786848,0.03486394557823129,124784,15744, ,451584.0,140528.0,521848.0, ,225792.0,78136.0,264860.0, ,112896.0,46940.0,136366.0, ,56448.0,31342.0,72119.0, , ,0.3111890589569161,0.34605300453514737,0.41578089569161,0.5552366780045351, ,0.03016970458830924,0.05944272445820433,0.11545399879735418,0.21830585559977259
