conv number,total A load,total B load,total D load,D from dram, ,A size (MB),B size (MB), ,reuse A,reuse B, ,inner tile A size,inner tile B size,tile A outer loop factor,tile B outer loop factor, ,number of tiles,load per tile,ideal runtime,ideal L2 BW usage,ideal DRAM BW usage,total memory transaction,from dram, ,1 core compute,1 core memory,1 core prediction, ,2 core compute,2 core memory,2 core prediction, ,4 core compute,4 core memory,4 core prediction, ,8 core compute,8 core memory,8 core prediction, , ,1 core mem/compute,2 core mem/compute,4 core mem/compute,8 core mem/compute, ,1 core dram bw predict,2 core dram bw predict,4 core dram bw predict,8 core dram bw predict
13,12544,2048,392,80, ,0.200704,0.008192, ,1.0,4.0, ,1280,512,1,10, ,4,3746,25088,0.6597576530612245,0.5860969387755102,16552,14704, ,25088.0,16552.0,30053.6, ,12544.0,14704.0,18467.2, ,6272.0,14704.0,16585.6, ,3136.0,14704.0,15644.8, , ,0.6597576530612245,1.1721938775510203,2.3443877551020407,4.688775510204081, ,0.4892591902467591,0.7962224917691908,0.8865521898514375,0.9398650030681122
14,2520,12096,1344,168, ,0.025088,0.027648, ,1.6071428571428572,7.0, ,1568,1152,2,1, ,14,1140,84672,0.24404761904761904,0.07794784580498866,20664,6600, ,84672.0,20664.0,90871.2, ,42336.0,10332.0,45435.6, ,21168.0,6600.0,23148.0, ,10584.0,6600.0,12564.0, , ,0.24404761904761904,0.24404761904761904,0.31179138321995464,0.6235827664399093, ,0.0726302722974936,0.1452605445949872,0.28512182477967857,0.5253104106972302
15,12544,7168,784,160, ,0.200704,0.016384, ,1.0,7.0, ,1280,1024,1,10, ,7,2928,50176,0.47098214285714285,0.3360969387755102,23632,16864, ,50176.0,23632.0,57265.6, ,25088.0,16864.0,30147.2, ,12544.0,16864.0,20627.2, ,6272.0,16864.0,18745.6, , ,0.47098214285714285,0.6721938775510204,1.344387755102041,2.688775510204082, ,0.29448744097678187,0.5593885999363125,0.8175612783121315,0.8996244452031411
16,17640,17280,624,144, ,0.09408,0.09216, ,3.0,3.0, ,2400,5760,1,3, ,18,1974,70560,0.5369047619047619,0.20034013605442177,37884,14136, ,70560.0,37884.0,81925.2, ,35280.0,18942.0,40962.6, ,17640.0,14136.0,21880.8, ,8820.0,14136.0,16782.0, , ,0.5369047619047619,0.5369047619047619,0.8013605442176871,1.6027210884353742, ,0.17254764101888065,0.3450952820377613,0.6460458484150489,0.8423310690025027
17,11760,8640,312,72, ,0.09408,0.04608, ,2.0,3.0, ,2400,2880,1,3, ,12,1726,35280,0.6204081632653061,0.2836734693877551,21888,10008, ,35280.0,21888.0,41846.4, ,17640.0,10944.0,20923.2, ,8820.0,10008.0,12654.0, ,4410.0,10008.0,11331.0, , ,0.6204081632653061,0.6204081632653061,1.1346938775510205,2.269387755102041, ,0.23916035788024775,0.4783207157604955,0.7908961593172119,0.8832406671961874
18,4608,22464,728,104, ,0.018816,0.179712, ,3.9183673469387754,2.0, ,1176,3456,4,1, ,12,2316,137592,0.22050700622129193,0.10090702947845805,30340,13884, ,137592.0,30340.0,146694.0, ,68796.0,15170.0,73347.0, ,34398.0,13884.0,38563.2, ,17199.0,13884.0,21364.2, , ,0.22050700622129193,0.22050700622129193,0.4036281179138322,0.8072562358276644, ,0.09464599779132071,0.18929199558264143,0.36003236245954695,0.6498722161372763
19,5880,480,784,12, ,0.09408,0.00768, ,1.0,1.0, ,2400,480,1,3, ,4,1786,7144,1.0274356103023516,0.9193729003359462,7340,6568, ,7144.0,7340.0,10912.0, ,3572.0,6568.0,8354.0, ,1786.0,6568.0,7461.0, ,893.0,6568.0,7014.5, , ,1.0274356103023516,1.8387458006718924,3.677491601343785,7.35498320268757, ,0.6019061583577713,0.7862101987072061,0.8803109502747621,0.936346140138285
20,192,864,168,24, ,0.003136,0.006912, ,0.9795918367346939,2.0, ,196,432,1,1, ,1,1224,5292,0.3424036281179138,0.19727891156462585,1812,1044, ,5292.0,1812.0,5835.6, ,2646.0,1044.0,2959.2, ,1323.0,1044.0,1636.2, ,661.5,1044.0,1242.45, , ,0.3424036281179138,0.3945578231292517,0.7891156462585034,1.5782312925170068, ,0.17890191239975323,0.35279805352798055,0.6380638063806381,0.8402752625860195
21,5880,5760,208,48, ,0.09408,0.03072, ,1.0,3.0, ,2400,1920,1,3, ,6,1974,23520,0.5369047619047619,0.36700680272108843,12628,8632, ,23520.0,12628.0,27308.4, ,11760.0,8632.0,14349.6, ,5880.0,8632.0,10396.0, ,2940.0,8632.0,9514.0, , ,0.5369047619047619,0.7340136054421769,1.4680272108843537,2.9360544217687075, ,0.3160932167391718,0.601549868985895,0.8303193535975375,0.9072945133487492
22,12544,15360,520,120, ,0.100352,0.08192, ,2.0,3.0, ,2560,5120,1,3, ,12,2368,62720,0.4843112244897959,0.21479591836734693,30376,13472, ,62720.0,30376.0,71832.8, ,31360.0,15188.0,35916.4, ,15680.0,13472.0,19721.6, ,7840.0,13472.0,15824.0, , ,0.4843112244897959,0.4843112244897959,0.8591836734693877,1.7183673469387755, ,0.1875466360771124,0.3750932721542248,0.683108875547623,0.8513650151668352
